state_abbrev,state_name,scenario_key,sustainability_index,sustainability_tier,sustainability_rank,sustainability_percentile,sustainability_band,demand_pressure_norm,demand_per_100k,supply_per_100k,margin_per_hour,revenue_per_hour,labor_cost_per_hour,wage_revenue_ratio,units_per_hour,scenario_notes,rpp_cost_of_living_index,revenue_per_hour_rpp_adjusted,labor_cost_per_hour_rpp_adjusted,margin_per_hour_rpp_adjusted,wage_revenue_ratio_rpp_adjusted,pt_comp_share_pct_rpp,non_pt_margin_share_pct_rpp
NJ,New Jersey,high,0.60021662,Sustainable,15,0.72,Upper-Mid Quartile,0.744536549,105.1587946,141.2406077,76.1328643,131.7521436,55.61927932,0.422150849,4.75,"High throughput: efficient ops, shorter transitions",108.883,121.0034107,55.61927932,65.38413133,0.459650509,45.96505092,54.03494908
NM,New Mexico,baseline,0.33506617,Sustainable,44,0.14,Bottom Quartile,1.747826087,94.84044393,54.26194553,45.42135132,105.6846502,60.26329889,0.570218085,4.25,Typical OP PT clinic throughput baseline,90.386,116.9259069,60.26329889,56.66260801,0.515397319,51.53973186,48.46026814
NM,New Mexico,conservative,0.219678404,At Risk,44,0.14,Bottom Quartile,1.747826087,94.84044393,54.26194553,32.98786306,93.25116195,60.26329889,0.646247163,3.75,"Lower throughput: higher complexity/documentation, longer transitions",90.386,103.1699179,60.26329889,42.90661897,0.584116961,58.41169611,41.58830389
NM,New Mexico,high,0.442450876,Sustainable,45,0.12,Bottom Quartile,1.747826087,94.84044393,54.26194553,57.85483958,118.1181385,60.26329889,0.510195129,4.75,"High throughput: efficient ops, shorter transitions",90.386,130.681896,60.26329889,70.41859706,0.461144969,46.11449693,53.88550307
NV,Nevada,high,0.445723645,Sustainable,44,0.14,Bottom Quartile,1.219008264,91.86948803,75.36412238,59.07298415,122.7645029,63.69151872,0.518810546,4.75,"High throughput: efficient ops, shorter transitions",96.98,126.5874437,63.69151872,62.89592495,0.503142467,50.31424672,49.68575328
NV,Nevada,baseline,0.334788552,Sustainable,45,0.12,Bottom Quartile,1.219008264,91.86948803,75.36412238,46.1504049,109.8419236,63.69151872,0.57984708,4.25,Typical OP PT clinic throughput baseline,96.98,113.2624496,63.69151872,49.57093088,0.562335699,56.23356986,43.76643014
NV,Nevada,conservative,0.215715254,At Risk,45,0.12,Bottom Quartile,1.219008264,91.86948803,75.36412238,33.22782565,96.91934437,63.69151872,0.657160024,3.75,"Lower throughput: higher complexity/documentation, longer transitions",96.98,99.93745553,63.69151872,36.24593681,0.637313792,63.73137917,36.26862083
NY,New York,baseline,0.556001691,Sustainable,4,0.94,Top Quartile,0.781309843,103.1003748,131.9583719,69.46993029,121.3775546,51.90762433,0.427654227,4.25,Typical OP PT clinic throughput baseline,107.626,112.7771678,51.90762433,60.86954347,0.460267139,46.02671387,53.97328613
NY,New York,high,0.667372033,Sustainable,4,0.94,Top Quartile,0.781309843,103.1003748,131.9583719,83.74964259,135.6572669,51.90762433,0.382637993,4.75,"High throughput: efficient ops, shorter transitions",107.626,126.0450699,51.90762433,74.13744556,0.411817966,41.18179662,58.81820338
NY,New York,conservative,0.438629184,Sustainable,4,0.94,Top Quartile,0.781309843,103.1003748,131.9583719,55.19021798,107.0978423,51.90762433,0.484674791,3.75,"Lower throughput: higher complexity/documentation, longer transitions",107.626,99.5092657,51.90762433,47.60164138,0.52163609,52.16360905,47.83639095
OH,Ohio,high,0.457542653,Sustainable,42,0.18,Bottom Quartile,1.12,116.1885744,103.7397986,59.36588938,118.4517612,59.08587186,0.49881801,4.75,"High throughput: efficient ops, shorter transitions",91.812,129.0155549,59.08587186,69.92968301,0.457974792,45.79747916,54.20252084
OH,Ohio,baseline,0.350608651,Sustainable,42,0.18,Bottom Quartile,1.12,116.1885744,103.7397986,46.89728293,105.9831548,59.08587186,0.557502482,4.25,Typical OP PT clinic throughput baseline,91.812,115.4349702,59.08587186,56.34909829,0.511854179,51.18541789,48.81458211
OH,Ohio,conservative,0.235850052,At Risk,41,0.2,Bottom Quartile,1.12,116.1885744,103.7397986,34.42867649,93.51454835,59.08587186,0.631836146,3.75,"Lower throughput: higher complexity/documentation, longer transitions",91.812,101.8543854,59.08587186,42.76851357,0.580101403,58.01014027,41.98985973
OK,Oklahoma,high,0.413277547,Sustainable,47,0.08,Bottom Quartile,1.42,104.8559634,73.84222771,54.31634641,114.2304202,59.91407379,0.524501912,4.75,"High throughput: efficient ops, shorter transitions",88.286,129.3867886,59.91407379,69.47271482,0.463061758,46.30617579,53.69382421
OK,Oklahoma,baseline,0.307597914,Sustainable,47,0.08,Bottom Quartile,1.42,104.8559634,73.84222771,42.29209165,102.2061654,59.91407379,0.586208019,4.25,Typical OP PT clinic throughput baseline,88.286,115.7671267,59.91407379,55.85305286,0.517539612,51.75396118,48.24603882
OK,Oklahoma,conservative,0.1936908,At Risk,47,0.08,Bottom Quartile,1.42,104.8559634,73.84222771,30.26783689,90.18191068,59.91407379,0.664369088,3.75,"Lower throughput: higher complexity/documentation, longer transitions",88.286,102.1474647,59.91407379,42.23339091,0.586544893,58.65448934,41.34551066
OR,Oregon,conservative,0.38427502,Sustainable,12,0.78,Top Quartile,0.951710262,111.2838533,116.9303914,49.20869161,102.2916591,53.08296753,0.518937399,3.75,"Lower throughput: higher complexity/documentation, longer transitions",104.721,97.68017794,53.08296753,44.59721041,0.543436434,54.34364336,45.65635664
OR,Oregon,baseline,0.499675142,Sustainable,12,0.78,Top Quartile,0.951710262,111.2838533,116.9303914,62.84757949,115.930547,53.08296753,0.45788594,4.25,Typical OP PT clinic throughput baseline,104.721,110.7042017,53.08296753,57.62123413,0.479502735,47.95027355,52.04972645
OR,Oregon,high,0.608648796,Sustainable,12,0.78,Top Quartile,0.951710262,111.2838533,116.9303914,76.48646738,129.5694349,53.08296753,0.40968742,4.75,"High throughput: efficient ops, shorter transitions",104.721,123.7282254,53.08296753,70.64525786,0.429028763,42.90287633,57.09712367
PA,Pennsylvania,conservative,0.291858137,Sustainable,29,0.44,Lower-Mid Quartile,0.934124629,120.9893826,129.5216707,39.74463489,95.99737774,56.25274285,0.585982078,3.75,"Lower throughput: higher complexity/documentation, longer transitions",97.5,98.45884896,56.25274285,42.20610611,0.571332526,57.13325257,42.86674743
PA,Pennsylvania,baseline,0.405979514,Sustainable,29,0.44,Lower-Mid Quartile,0.934124629,120.9893826,129.5216707,52.54428525,108.7970281,56.25274285,0.51704301,4.25,Typical OP PT clinic throughput baseline,97.5,111.5866955,56.25274285,55.33395264,0.504116934,50.41169344,49.58830656
PA,Pennsylvania,high,0.512844147,Sustainable,29,0.44,Lower-Mid Quartile,0.934124629,120.9893826,129.5216707,65.34393561,121.5966785,56.25274285,0.46261743,4.75,"High throughput: efficient ops, shorter transitions",97.5,124.714542,56.25274285,68.46179916,0.451051994,45.10519939,54.89480061
RI,Rhode Island,baseline,0.519404184,Sustainable,8,0.86,Top Quartile,1.06557377,118.0548556,110.7899414,64.95268966,116.9534687,52.00077905,0.444627933,4.25,Typical OP PT clinic throughput baseline,101.412,115.3250786,52.00077905,63.32429955,0.450906079,45.09060794,54.90939206
RI,Rhode Island,conservative,0.404139033,Sustainable,8,0.86,Top Quartile,1.06557377,118.0548556,110.7899414,51.19345805,103.1942371,52.00077905,0.503911657,3.75,"Lower throughput: higher complexity/documentation, longer transitions",101.412,101.7574223,52.00077905,49.75664325,0.51102689,51.102689,48.897311
RI,Rhode Island,high,0.628428943,Sustainable,8,0.86,Top Quartile,1.06557377,118.0548556,110.7899414,78.71192127,130.7127003,52.00077905,0.397824993,4.75,"High throughput: efficient ops, shorter transitions",101.412,128.8927349,52.00077905,76.89195586,0.403442282,40.34422816,59.65577184
SC,South Carolina,baseline,0.382026556,Sustainable,35,0.32,Lower-Mid Quartile,1.071969697,104.9937319,97.94468277,49.73309672,105.8063291,56.07323242,0.529961042,4.25,Typical OP PT clinic throughput baseline,93.177,113.5541272,56.07323242,57.48089483,0.4938018,49.38017999,50.61982001
SC,South Carolina,conservative,0.269233509,At Risk,35,0.32,Lower-Mid Quartile,1.071969697,104.9937319,97.94468277,37.2852933,93.35852571,56.07323242,0.600622514,3.75,"Lower throughput: higher complexity/documentation, longer transitions",93.177,100.1948182,56.07323242,44.12158574,0.55964204,55.96420399,44.03579601
SC,South Carolina,high,0.487381552,Sustainable,35,0.32,Lower-Mid Quartile,1.071969697,104.9937319,97.94468277,62.18090015,118.2541326,56.07323242,0.474175669,4.75,"High throughput: efficient ops, shorter transitions",93.177,126.9134363,56.07323242,70.84020391,0.441822663,44.18226631,55.81773369
SD,South Dakota,conservative,0.301237033,Sustainable,27,0.48,Lower-Mid Quartile,1.333333333,104.604904,78.45367801,40.70402444,96.72200328,56.01797884,0.579164791,3.75,"Lower throughput: higher complexity/documentation, longer transitions",88.095,109.792841,56.01797884,53.77486216,0.510215223,51.02152229,48.97847771
SD,South Dakota,baseline,0.415558636,Sustainable,27,0.48,Lower-Mid Quartile,1.333333333,104.604904,78.45367801,53.60029154,109.6182704,56.01797884,0.511027757,4.25,Typical OP PT clinic throughput baseline,88.095,124.4318865,56.01797884,68.41390762,0.450189903,45.01899026,54.98100974
SD,South Dakota,high,0.52270792,Sustainable,27,0.48,Lower-Mid Quartile,1.333333333,104.604904,78.45367801,66.49655864,122.5145375,56.01797884,0.457235362,4.75,"High throughput: efficient ops, shorter transitions",88.095,139.0709319,56.01797884,83.05295309,0.402801492,40.28014918,59.71985082
TN,Tennessee,high,0.446794819,Sustainable,43,0.16,Bottom Quartile,1.086280057,107.3671028,98.83924698,57.7426627,115.5109911,57.76832837,0.500111096,4.75,"High throughput: efficient ops, shorter transitions",92.515,124.8565001,57.76832837,67.08817173,0.462677781,46.26777807,53.73222193
TN,Tennessee,conservative,0.228782506,At Risk,43,0.16,Bottom Quartile,1.086280057,107.3671028,98.83924698,33.42455932,91.19288769,57.76832837,0.633474055,3.75,"Lower throughput: higher complexity/documentation, longer transitions",92.515,98.57092113,57.76832837,40.80259276,0.586058522,58.60585222,41.39414778
TN,Tennessee,baseline,0.341711102,Sustainable,43,0.16,Bottom Quartile,1.086280057,107.3671028,98.83924698,45.58361101,103.3519394,57.76832837,0.558947696,4.25,Typical OP PT clinic throughput baseline,92.515,111.7137106,57.76832837,53.94538225,0.517110461,51.71104607,48.28895393
TX,Texas,conservative,0.234456562,At Risk,42,0.18,Bottom Quartile,1.12390925,83.85622213,74.61120385,34.66854111,95.66597956,60.99743845,0.637608466,3.75,"Lower throughput: higher complexity/documentation, longer transitions",97.175,98.44711043,60.99743845,37.44967198,0.619596027,61.95960266,38.04039734
TX,Texas,baseline,0.351339815,Sustainable,41,0.2,Bottom Quartile,1.12390925,83.85622213,74.61120385,47.42400505,108.4214435,60.99743845,0.562595705,4.25,Typical OP PT clinic throughput baseline,97.175,111.5733918,60.99743845,50.57595337,0.546702376,54.67023764,45.32976236
