"state_abbrev","state_name","scenario_key","sustainability_index","sustainability_tier","sustainability_rank","sustainability_percentile","sustainability_band","demand_pressure_norm","demand_per_100k","supply_per_100k","margin_per_hour","revenue_per_hour","labor_cost_per_hour","wage_revenue_ratio","units_per_hour","scenario_notes","pt_comp_share_pct","non_pt_margin_share_pct"
"CT","Connecticut","baseline","0.4979824359548753515825","Sustainable","13","0.76","Top Quartile","0.69485903814262023272","115.06661368293078800000","165.59705978712951100000","63.320281518413340325","118.834240559762582200","55.513959041349241875","0.46715457413497651157","4.25","Typical OP PT clinic throughput baseline","46.71545741349765115700","53.28454258650234884300"
"CT","Connecticut","conservative","0.3798385691804503942988","Sustainable","14","0.74","Upper-Mid Quartile","0.69485903814262023272","115.06661368293078800000","165.59705978712951100000","49.339782629029507125","104.853741670378749000","55.513959041349241875","0.52944185068630671312","3.75","Lower throughput: higher complexity/documentation, longer transitions","52.94418506863067131200","47.05581493136932868800"
"DC","District of Columbia","high","0.7033892951514841734718","Sustainable","2","0.98","Top Quartile","1.20408163265306122108","86.43941402867737400000","71.78866588822358200000","88.462478626454209300","140.251702165315622300","51.789223538861413000","0.36925914437613817875","4.75","High throughput: efficient ops, shorter transitions","36.92591443761381787500","63.07408556238618212500"
"DC","District of Columbia","conservative","0.4704111281720308945289","Sustainable","2","0.98","Top Quartile","1.20408163265306122108","86.43941402867737400000","71.78866588822358200000","58.935804486387762500","110.725028025249175500","51.789223538861413000","0.46772824954310835976","3.75","Lower throughput: higher complexity/documentation, longer transitions","46.77282495431083597600","53.22717504568916402400"
"DC","District of Columbia","baseline","0.5897963618137272452078","Sustainable","2","0.98","Top Quartile","1.20408163265306122108","86.43941402867737400000","71.78866588822358200000","73.699141556420985900","125.488365095282398900","51.789223538861413000","0.41270139665568384684","4.25","Typical OP PT clinic throughput baseline","41.27013966556838468400","58.72986033443161531600"
"DE","Delaware","high","0.5107438305892838465304","Sustainable","31","0.4","Lower-Mid Quartile","1.14150943396226415076","116.86824023474096800000","102.38044185853341000000","65.6497068190901537095875","124.013303075432725025","58.3635962563425713154125","0.4706236735009158264413","4.75","High throughput: efficient ops, shorter transitions","47.0623673500915826441300","52.9376326499084173558700"
"DE","Delaware","baseline","0.4018252330750851968617","Sustainable","31","0.4","Lower-Mid Quartile","1.14150943396226415076","116.86824023474096800000","102.38044185853341000000","52.5956749164130247595875","110.959271172755596075","58.3635962563425713154125","0.5259911645010235707285","4.25","Typical OP PT clinic throughput baseline","52.5991164501023570728500","47.4008835498976429271500"
"DE","Delaware","conservative","0.2855243034275388479548","Sustainable","31","0.4","Lower-Mid Quartile","1.14150943396226415076","116.86824023474096800000","102.38044185853341000000","39.5416430137358958095875","97.905239270078467125","58.3635962563425713154125","0.5961233197678267134923","3.75","Lower throughput: higher complexity/documentation, longer transitions","59.6123319767826713492300","40.3876680232173286507700"
"FL","Florida","high","0.5631347717656671355769","Sustainable","20","0.62","Upper-Mid Quartile","1.27541311967951927882","111.08083439980238300000","87.09400325732444400000","70.036990054661466625","120.846286320636917125","50.809296265975450500","0.42044565714799916295","4.75","High throughput: efficient ops, shorter transitions","42.04456571479991629500","57.95543428520008370500"
"FL","Florida","baseline","0.4592423750098943876586","Sustainable","19","0.64","Upper-Mid Quartile","1.27541311967951927882","111.08083439980238300000","87.09400325732444400000","57.316328336699685875","108.125624602675136375","50.809296265975450500","0.46990985210658729977","4.25","Typical OP PT clinic throughput baseline","46.99098521065872997700","53.00901478934127002300"
"FL","Florida","conservative","0.3487547522596432215003","Sustainable","19","0.64","Upper-Mid Quartile","1.27541311967951927882","111.08083439980238300000","87.09400325732444400000","44.595666618737905125","95.404962884713355625","50.809296265975450500","0.53256449905413227307","3.75","Lower throughput: higher complexity/documentation, longer transitions","53.25644990541322730700","46.74355009458677269300"
"GA","Georgia","baseline","0.3974701148754202491847","Sustainable","32","0.38","Lower-Mid Quartile","1.23678160919540229654","97.25525953460827500000","78.63575817389330800000","51.8056503672777923106625","109.034411184945940975","57.2287608176681486643375","0.5248688023874939272003","4.25","Typical OP PT clinic throughput baseline","52.4868802387493927200300","47.5131197612506072799700"
